Place;lat;lon
Halliste;58.164076;25.439462
Harju-Madise;59.267347;24.318873
Hiiumaa;58.923955;22.591947
H‰‰demeeste;58.079622;24.498713
Iisaku;59.099808;27.311262
Karksi;58.116204;25.585648
Keila;59.308233;24.425803
Kurkse;59.289582;24.016936
Kuusalu;59.491645;25.377929
Lake Peipus;58.803329;27.187287
Mahu;59.51222;26.723341
Noarootsi;59.016891;23.526072
Osmussaar;59.293242;23.394803
Pakri;59.333333;23.95
Reigi;59.004056;22.514311
Riguldi;59.11923;23.542363
Risti;59.2301;23.9993
Ruhnu;57.805148;23.246051
Rıngu;58.142574;26.247642
Saarde;58.1377;24.9581
Saaremaa;58.484972;22.613641
Tallinn;59.436961;24.753575
Urvaste;57.915039;26.581715
Vaivara;59.3742;27.772
Vihterpalu;59.259645;23.876164
Viimsi;59.498964;24.836672
Vormsi;59.004891;23.262394
P‰rnu;58.385808;24.496577
Tartu;58.377625;26.729006
Narva;59.37968;28.179133
Viljandi;58.367135;25.597428