Parish_id;VerbFreqParish
Mar;5807
Amb;3100
Ans;2427
Avi;1494
Emm;2281
Har;3313
Hel;1045
Hlj;2239
Hls;913
HMd;4094
Hää;1991
Iis;1926
ISe;3909
Jaa;327
Juu;2088
Jõe;4173
Jõh;3280
Jäm;3310
Kam;1394
Kei;3054
Khk;4905
Khn;3698
Kir;254
Kod;2649
Kos;2200
Krj;923
Krk;3043
Krl;3687
Kul;9188
Kuu;3019
Käi;4758
LSe;3739
Lüg;3325
Mih;3259
Muh;4143
Mus;4340
Mär;863
Nõo;3760
Ote;1770
Pal;3335
Pee;2346
Pha;2990
Phl;2996
Pil;3042
PJg;1392
Plt;5371
Plv;4793
PSe;4244
Pst;3801
Pöi;1686
Rei;1742
Rid;2298
Rõn;2687
Rõu;2211
Räp;1452
SJn;2236
Tor;1107
Trm;2458
Trv;3684
Tõs;6588
Urv;273
Vai;2529
Var;2660
Vas;2846
VJg;1257
Vll;303
VMr;695
VNg;1914
Võn;2770
Vän;3810
Äks;1492